Node,PR
C0001479,1.71E-05
C0001480,6.28E-05
C0001483,0.000234053
C0001486,6.08E-05
C0001487,1.66E-05
C0001489,7.82E-06
C0001490,7.79E-05
C0001491,1.14E-05
C0001492,6.95E-06
C0001497,5.93E-06
C0001506,5.70E-06
C0001510,1.20E-05
C0001511,0.000209663
C0001516,2.18E-05
C0001519,1.15E-05
C0001527,8.53E-05
C0001546,1.40E-05
C0001551,0.000465263
C0001552,5.40E-06
C0001554,0.00019465
C0001558,5.51E-06
C0001559,1.03E-05
C0001560,4.80E-05
C0001561,5.61E-06
C0001562,6.53E-06
C0001563,0.000108513
C0001566,2.37E-05
C0001568,5.68E-06
C0001575,1.37E-05
C0001576,5.66E-06
C0001578,8.29E-06
C0001588,4.45E-05
C0001589,3.64E-05
C0001593,5.85E-06
C0001601,5.77E-06
C0001613,0.000104269
C0001617,0.000466014
C0001618,8.20E-06
C0001621,8.45E-06
C0001622,8.32E-06
C0001623,3.50E-05
C0001624,1.67E-05
C0001625,4.91E-05
C0001627,9.10E-06
C0001629,4.23E-05
C0001632,6.13E-05
C0001639,5.80E-06
C0001641,1.40E-05
C0001643,2.54E-05
C0001644,2.43E-05
C0001645,7.01E-05
C0001646,6.01E-06
C0001648,7.44E-06
C0001655,1.58E-05
C0001675,0.002194618
C0001694,2.48E-05
C0001697,5.56E-06
C0001699,3.90E-05
C0001701,1.23E-05
C0001705,6.50E-06
C0001707,8.18E-06
C0001712,1.66E-05
C0001721,7.50E-06
C0001728,1.56E-05
C0001752,3.14E-05
C0001753,2.66E-05
C0001758,1.36E-05
C0001768,8.19E-06
C0001771,2.54E-05
C0001774,1.77E-05
C0001779,0.000209391
C0001792,0.000621918
C0001795,1.08E-05
C0001801,1.49E-05
C0001802,2.01E-05
C0001807,3.13E-05
C0001811,0.000217491
C0001814,6.02E-06
C0001815,1.06E-05
C0001818,7.46E-06
C0001824,1.41E-05
C0001825,1.01E-05
C0001829,2.19E-05
C0001849,5.50E-06
C0001857,8.22E-06
C0001869,4.83E-05
C0001873,1.86E-05
C0001876,1.09E-05
C0001878,2.12E-05
C0001881,6.29E-06
C0001882,5.64E-06
C0001883,6.98E-05
C0001884,1.19E-05
C0001889,5.53E-06
C0001898,5.76E-05
C0001899,4.36E-05
C0001911,9.58E-06
C0001916,9.14E-06
C0001924,0.000121708
C0001925,2.69E-05
C0001927,3.19E-05
C0001942,1.55E-05
C0001948,6.83E-05
C0001956,2.13E-05
C0001962,0.000202616
C0001963,3.67E-05
C0001964,5.53E-06
C0001967,4.72E-05
C0001969,1.20E-05
C0001973,2.06E-05
C0001992,1.74E-05
C0001998,9.80E-06
C0002003,2.48E-05
C0002006,3.93E-05
C0002016,8.64E-06
C0002017,1.47E-05
C0002018,5.48E-06
C0002020,1.40E-05
C0002028,1.15E-05
C0002031,5.49E-06
C0002033,6.29E-06
C0002045,0.000104162
C0002049,7.83E-06
C0002055,8.70E-05
C0002059,3.91E-05
C0002062,0.000119877
C0002063,5.92E-06
C0002064,8.81E-06
C0002065,2.47E-05
C0002066,2.48E-05
C0002068,1.07E-05
C0002072,1.41E-05
C0002073,9.76E-06
C0002078,9.98E-06
C0002083,5.84E-06
C0002085,0.000191873
C0002092,5.90E-05
C0002098,1.40E-05
C0002106,7.72E-06
C0002122,9.66E-06
C0002123,1.37E-05
C0002125,9.54E-06
C0002131,9.76E-06
C0002144,1.55E-05
C0002154,1.55E-05
C0002157,5.88E-06
C0002164,1.44E-05
C0002168,9.61E-06
C0002170,4.15E-05
C0002175,5.85E-06
C0002186,4.36E-05
C0002191,3.04E-05
C0002198,1.24E-05
C0002199,0.000313673
C0002210,2.31E-05
C0002240,5.50E-06
C0002241,7.84E-06
C0002245,1.95E-05
C0002246,6.02E-06
C0002251,5.80E-06
C0002257,8.61E-06
C0002260,5.53E-06
C0002268,5.76E-06
C0002270,7.56E-06
C0002272,1.42E-05
C0002287,1.02E-05
C0002302,2.29E-05
C0002318,1.17E-05
C0002331,6.48E-05
C0002335,2.33E-05
C0002345,4.79E-05
C0002346,5.93E-06
C0002367,3.43E-05
C0002371,1.95E-05
C0002382,1.43E-05
C0002387,2.48E-05
C0002390,2.90E-05
C0002395,0.000266902
C0002403,5.82E-05
C0002416,7.70E-06
C0002418,1.51E-05
C0002421,1.79E-05
C0002422,2.69E-05
C0002423,6.29E-05
C0002424,0.000130749
C0002428,2.56E-05
C0002430,5.64E-06
C0002438,1.08E-05
C0002448,8.39E-06
C0002458,6.03E-06
C0002460,1.13E-05
C0002461,6.74E-06
C0002464,6.40E-06
C0002475,3.30E-05
C0002482,1.66E-05
C0002483,6.65E-06
C0002488,9.00E-06
C0002499,3.09E-05
C0002502,2.73E-05
C0002505,7.61E-06
C0002508,4.36E-05
C0002520,0.000505008
C0002521,1.39E-05
C0002525,1.84E-05
C0002529,1.52E-05
C0002530,1.53E-05
C0002531,1.26E-05
C0002556,3.69E-05
C0002563,1.01E-05
C0002570,5.70E-05
C0002573,6.52E-06
C0002575,1.31E-05
C0002578,9.20E-06
C0002588,5.52E-06
C0002594,3.43E-05
C0002598,5.11E-05
C0002600,1.11E-05
C0002607,3.19E-05
C0002611,7.59E-06
C0002615,2.02E-05
C0002620,7.81E-06
C0002622,1.19E-05
C0002624,6.36E-06
C0002627,5.47E-06
C0002630,5.54E-06
C0002638,3.35E-05
C0002641,9.89E-06
C0002642,1.77E-05
C0002645,3.19E-05
C0002658,2.02E-05
C0002667,1.48E-05
C0002668,3.21E-05
C0002679,2.32E-05
C0002680,2.32E-05
C0002684,5.64E-06
C0002688,4.72E-05
C0002690,4.21E-05
C0002695,1.40E-05
C0002708,2.25E-05
C0002710,5.93E-06
C0002712,4.24E-05
C0002716,7.25E-05
C0002723,3.57E-05
C0002726,1.95E-05
C0002736,7.02E-05
C0002760,1.59E-05
C0002763,2.14E-05
C0002766,0.000131128
C0002769,3.52E-05
C0002771,0.000145337
C0002772,0.000111824
C0002773,5.96E-06
C0002783,3.02E-05
C0002792,3.57E-05
C0002793,1.51E-05
C0002794,5.70E-06
C0002797,5.73E-06
C0002804,1.39E-05
C0002812,7.92E-06
C0002830,5.60E-06
C0002842,2.50E-05
C0002844,7.49E-05
C0002845,2.56E-05
C0002871,0.000190988
C0002873,7.47E-06
C0002874,1.57E-05
C0002875,2.40E-05
C0002878,1.66E-05
C0002879,5.54E-06
C0002880,1.93E-05
C0002888,1.03E-05
C0002895,9.00E-05
C0002903,0.000353592
C0002911,3.29E-05
C0002915,0.000163818
C0002920,1.51E-05
C0002921,5.08E-05
C0002922,5.51E-06
C0002928,4.97E-05
C0002930,8.21E-06
C0002932,0.000133736
C0002934,1.11E-05
C0002938,1.01E-05
C0002940,0.000341781
C0002949,4.89E-05
C0002950,1.06E-05
C0002952,8.41E-06
C0002957,1.07E-05
C0002959,2.09E-05
C0002965,1.89E-05
C0002976,1.66E-05
C0002978,0.000212701
C0002979,5.36E-05
C0002986,1.54E-05
C0002991,9.86E-06
C0002992,6.36E-06
C0002994,2.95E-05
C0002996,4.45E-05
C0002997,5.40E-06
C0003006,3.02E-05
C0003009,0.000267711
C0003011,1.63E-05
C0003012,5.74E-06
C0003015,0.000134494
C0003017,2.21E-05
C0003018,5.76E-05
C0003035,2.48E-05
C0003036,1.23E-05
C0003047,3.48E-05
C0003048,1.00E-05
C0003050,5.40E-06
C0003055,1.40E-05
C0003060,4.62E-05
C0003062,0.0011373
C0003063,5.67E-05
C0003064,6.77E-05
C0003065,1.30E-05
C0003069,2.01E-05
C0003070,8.63E-05
C0003075,3.23E-05
C0003082,1.17E-05
C0003086,5.65E-05
C0003090,1.01E-05
C0003113,5.46E-06
C0003119,6.36E-06
C0003121,6.55E-06
C0003123,7.92E-05
C0003125,3.21E-05
C0003126,0.000102542
C0003128,7.65E-06
C0003130,7.72E-06
C0003132,9.16E-06
C0003138,9.69E-06
C0003153,7.35E-06
C0003154,5.45E-06
C0003158,3.84E-05
C0003161,7.37E-06
C0003162,5.79E-06
C0003174,2.56E-05
C0003175,3.02E-05
C0003188,6.25E-06
C0003191,1.67E-05
C0003195,2.17E-05
C0003204,4.53E-05
C0003205,4.90E-05
C0003209,0.000348738
C0003211,0.000151392
C0003232,0.000612249
C0003233,1.21E-05
C0003236,5.56E-06
C0003238,5.47E-06
C0003240,5.43E-05
C0003241,0.001323435
C0003242,0.000231687
C0003243,1.94E-05
C0003244,5.54E-06
C0003248,5.55E-06
C0003250,0.000548708
C0003251,9.63E-06
C0003253,5.78E-05
C0003255,5.54E-06
C0003261,0.000283448
C0003264,8.17E-06
C0003272,2.63E-05
C0003273,1.28E-05
C0003277,6.73E-06
C0003280,0.000123285
C0003281,3.45E-05
C0003284,5.68E-06
C0003286,2.73E-05
C0003289,0.000111339
C0003290,1.06E-05
C0003292,1.08E-05
C0003295,2.41E-05
C0003297,1.26E-05
C0003299,2.75E-05
C0003304,5.64E-06
C0003308,3.11E-05
C0003313,7.73E-05
C0003314,7.91E-06
C0003315,9.26E-05
C0003316,0.000461175
C0003317,5.48E-06
C0003319,1.19E-05
C0003320,0.000713141
C0003321,1.77E-05
C0003323,1.68E-05
C0003324,6.36E-06
C0003330,5.76E-06
C0003333,1.69E-05
C0003335,7.44E-06
C0003339,3.02E-05
C0003341,6.30E-06
C0003342,0.000123842
C0003343,1.60E-05
C0003364,0.00010197
C0003372,6.91E-06
C0003374,9.94E-05
C0003376,9.85E-06
C0003385,2.20E-05
C0003392,0.000112122
C0003393,8.53E-06
C0003402,0.000225335
C0003404,1.84E-05
C0003405,6.36E-06
C0003416,1.03E-05
C0003419,2.98E-05
C0003424,1.64E-05
C0003438,1.45E-05
C0003440,2.65E-05
C0003442,9.40E-06
C0003445,2.48E-05
C0003448,1.25E-05
C0003449,8.79E-06
C0003450,6.19E-06
C0003451,0.000491532
C0003455,1.39E-05
C0003459,6.09E-06
C0003460,1.24E-05
C0003461,3.65E-05
C0003466,5.73E-06
C0003467,0.000565092
C0003469,5.44E-05
C0003477,5.53E-06
C0003483,0.000194089
C0003486,2.32E-05
C0003492,7.56E-06
C0003493,1.34E-05
C0003496,6.36E-06
C0003504,3.18E-05
C0003507,4.52E-05
C0003509,7.28E-06
C0003515,7.91E-06
C0003521,2.48E-05
C0003522,6.76E-06
C0003537,2.59E-05
C0003562,1.14E-05
C0003578,6.17E-05
C0003588,5.68E-06
C0003591,2.05E-05
C0003592,5.98E-06
C0003593,9.11E-06
C0003595,4.40E-05
C0003601,7.77E-06
C0003611,6.07E-05
C0003614,8.55E-06
C0003615,0.000111019
C0003617,7.07E-05
C0003618,2.17E-05
C0003621,5.61E-06
C0003622,5.74E-06
C0003641,1.42E-05
C0003646,5.49E-06
C0003662,3.16E-05
C0003682,1.16E-05
C0003692,5.62E-06
C0003695,5.31E-05
C0003723,1.87E-05
C0003725,3.22E-05
C0003732,4.77E-05
C0003733,5.97E-06
C0003737,5.64E-06
C0003741,2.40E-05
C0003755,1.68E-05
C0003762,3.27E-05
C0003765,6.22E-05
C0003779,2.04E-05
C0003794,1.43E-05
C0003805,8.29E-06
C0003806,5.77E-06
C0003808,1.22E-05
C0003811,0.000174158
C0003813,9.81E-06
C0003818,2.65E-05
C0003826,5.89E-06
C0003827,5.64E-06
C0003835,1.55E-05
C0003838,2.11E-05
C0003842,0.000667008
C0003844,2.75E-05
C0003847,2.17E-05
C0003850,0.000179867
C0003851,1.05E-05
C0003855,6.49E-05
C0003857,7.84E-05
C0003860,1.83E-05
C0003862,4.14E-05
C0003864,0.000163069
C0003868,5.76E-06
C0003869,3.15E-05
C0003872,3.19E-05
C0003873,0.000191007
C0003875,5.40E-06
C0003876,6.01E-06
C0003881,1.11E-05
C0003885,2.08E-05
C0003893,7.19E-05
C0003898,1.31E-05
C0003903,2.27E-05
C0003904,2.41E-05
C0003916,2.55E-05
C0003943,6.13E-06
C0003947,7.47E-06
C0003949,6.36E-06
C0003950,7.78E-06
C0003956,6.24E-06
C0003962,5.17E-05
C0003964,1.18E-05
C0003965,5.91E-06
C0003967,7.65E-06
C0003968,0.000137469
C0003969,5.70E-06
C0003974,5.78E-06
C0003988,1.65E-05
C0003993,1.00E-05
C0003995,2.36E-05
C0003999,1.90E-05
C0004002,5.15E-05
C0004015,2.20E-05
C0004030,4.44E-05
C0004031,7.67E-06
C0004034,2.02E-05
C0004036,1.20E-05
C0004037,1.83E-05
C0004039,7.12E-06
C0004044,3.14E-05
C0004045,5.61E-06
C0004048,0.00013158
C0004057,0.000168079
C0004063,3.21E-05
C0004083,1.11E-05
C0004093,7.33E-06
C0004095,1.65E-05
C0004096,0.000604325
C0004106,1.44E-05
C0004112,0.000259033
C0004114,7.84E-06
C0004120,0.000101863
C0004134,5.01E-05
C0004135,1.37E-05
C0004138,6.36E-06
C0004144,5.95E-05
C0004153,4.00E-05
C0004161,9.50E-06
C0004171,5.75E-06
C0004178,1.92E-05
C0004199,6.12E-06
C0004204,1.06E-05
C0004235,5.73E-06
C0004237,5.93E-06
C0004238,0.000222745
C0004239,1.23E-05
C0004245,8.24E-06
C0004259,1.54E-05
C0004268,0.000116359
C0004271,0.000101739
C0004277,6.10E-06
C0004292,7.91E-06
C0004302,2.48E-05
C0004309,5.61E-06
C0004320,2.43E-05
C0004334,3.49E-05
C0004339,3.62E-05
C0004352,6.03E-05
C0004358,0.000155478
C0004359,6.56E-05
C0004364,0.000378179
C0004366,5.60E-05
C0004371,8.65E-06
C0004380,5.47E-06
C0004388,7.70E-06
C0004391,0.000448343
C0004398,0.000336983
C0004400,2.40E-05
C0004409,1.44E-05
C0004418,5.63E-06
C0004419,0.000323607
C0004420,1.63E-05
C0004422,1.82E-05
C0004425,1.19E-05
C0004430,5.57E-06
C0004434,5.67E-06
C0004448,0.00017246
C0004454,3.95E-05
C0004461,6.09E-05
C0004475,2.51E-05
C0004480,5.68E-06
C0004482,3.44E-05
C0004483,7.45E-06
C0004496,5.47E-06
C0004504,7.43E-06
C0004509,1.12E-05
C0004519,1.65E-05
C0004521,6.36E-06
C0004525,9.81E-06
C0004526,1.46E-05
C0004561,0.000279898
C0004565,1.18E-05
C0004576,1.91E-05
C0004587,2.32E-05
C0004589,1.96E-05
C0004590,7.61E-06
C0004594,5.74E-06
C0004595,1.44E-05
C0004597,9.75E-06
C0004599,1.19E-05
C0004600,6.74E-05
C0004604,3.95E-05
C0004606,1.14E-05
C0004607,6.29E-06
C0004609,8.15E-06
C0004610,0.000157259
C0004611,0.000633813
C0004613,1.39E-05
C0004614,7.85E-06
C0004618,9.15E-06
C0004623,0.000312412
C0004626,6.49E-05
C0004627,2.23E-05
C0004630,5.46E-06
C0004632,2.40E-05
C0004635,2.58E-05
C0004641,1.56E-05
C0004644,5.85E-06
C0004651,0.000106874
C0004654,6.48E-06
C0004659,1.51E-05
C0004661,1.08E-05
C0004663,5.74E-06
C0004698,3.92E-05
C0004700,6.03E-06
C0004704,3.34E-05
C0004708,2.48E-05
C0004726,2.14E-05
C0004745,5.69E-06
C0004749,1.70E-05
C0004754,5.69E-06
C0004755,7.86E-06
C0004757,6.32E-06
C0004760,1.57E-05
C0004763,8.99E-05
C0004764,7.47E-06
C0004768,6.99E-06
C0004770,1.70E-05
C0004779,8.63E-06
C0004781,3.24E-05
C0004790,5.96E-06
C0004793,0.000111886
C0004799,2.21E-05
C0004811,5.92E-06
C0004827,1.51E-05
C0004830,5.47E-06
C0004836,7.43E-06
C0004855,6.03E-06
C0004886,8.29E-05
C0004891,5.76E-06
C0004895,1.30E-05
C0004897,1.76E-05
C0004905,5.85E-06
C0004906,7.64E-06
C0004910,1.77E-05
C0004916,2.09E-05
C0004920,7.53E-06
C0004923,1.10E-05
C0004927,0.000112071
C0004930,1.33E-05
C0004933,7.36E-05
C0004936,0.00029223
C0004941,1.29E-05
C0004943,1.77E-05
C0004945,2.48E-05
C0005001,1.10E-05
C0005014,9.46E-06
C0005018,1.05E-05
C0005024,5.77E-06
C0005032,7.40E-06
C0005036,2.09E-05
C0005050,9.57E-06
C0005052,1.43E-05
C0005064,4.84E-05
C0005099,7.82E-06
C0005100,1.30E-05
C0005117,3.34E-05
C0005119,1.67E-05
C0005122,2.45E-05
C0005136,1.61E-05
C0005145,7.58E-06
C0005146,7.53E-06
C0005148,9.50E-06
C0005149,2.39E-05
C0005186,3.55E-05
C0005197,1.44E-05
C0005198,1.26E-05
C0005210,1.38E-05
C0005214,7.44E-06
C0005220,1.90E-05
C0005221,1.55E-05
C0005223,7.87E-06
C0005248,1.79E-05
C0005270,7.61E-06
C0005283,1.88E-05
C0005290,5.46E-06
C0005304,6.71E-06
C0005308,2.46E-05
C0005330,5.96E-06
C0005364,5.80E-06
C0005365,5.89E-06
C0005367,2.64E-05
C0005372,8.43E-06
C0005375,9.58E-06
C0005380,1.90E-05
C0005382,2.27E-05
C0005390,6.03E-05
C0005400,1.61E-05
C0005401,1.40E-05
C0005403,1.58E-05
C0005404,3.66E-05
C0005411,2.26E-05
C0005416,6.36E-06
C0005417,9.03E-06
C0005423,7.74E-06
C0005424,6.36E-06
C0005426,5.78E-06
C0005435,5.68E-06
C0005437,6.72E-05
C0005446,9.66E-06
C0005456,0.000215002
C0005457,7.38E-06
C0005479,1.34E-05
C0005482,5.70E-06
C0005486,2.63E-05
C0005491,1.00E-05
C0005492,1.93E-05
C0005495,9.69E-05
C0005496,8.14E-06
C0005507,3.48E-05
C0005508,6.30E-06
C0005515,0.000155607
C0005516,4.87E-05
C0005520,9.93E-06
C0005525,0.000345377
C0005526,9.45E-06
C0005527,2.88E-05
C0005529,9.92E-06
C0005532,1.30E-05
C0005533,1.38E-05
C0005539,5.87E-06
C0005540,9.76E-06
C0005544,5.99E-06
C0005551,5.49E-06
C0005553,8.70E-06
C0005554,2.92E-05
C0005557,9.93E-06
C0005558,0.000403165
C0005560,8.47E-06
C0005567,5.49E-06
C0005575,3.02E-05
C0005580,2.48E-05
C0005586,6.42E-05
C0005587,1.09E-05
C0005591,1.86E-05
C0005595,0.000181043
C0005604,7.77E-06
C0005612,7.31E-06
C0005615,0.000104521
C0005639,1.07E-05
C0005642,2.55E-05
C0005647,1.21E-05
C0005658,1.37E-05
C0005660,5.51E-06
C0005670,1.38E-05
C0005680,3.44E-05
C0005682,4.27E-05
C0005683,6.36E-06
C0005684,5.07E-05
C0005686,5.65E-06
C0005694,6.67E-06
C0005695,7.87E-06
C0005697,1.84E-05
C0005699,5.53E-06
C0005700,2.84E-05
C0005712,8.12E-06
C0005716,1.40E-05
C0005740,3.70E-05
C0005745,4.55E-05
C0005747,8.67E-06
C0005758,6.12E-05
C0005767,0.000444246
C0005770,1.22E-05
C0005771,1.08E-05
C0005773,7.04E-05
C0005775,5.32E-05
C0005778,4.63E-05
C0005779,0.000263284
C0005789,3.96E-05
C0005790,1.05E-05
C0005791,9.62E-06
C0005794,6.36E-06
C0005795,4.98E-05
C0005800,1.58E-05
C0005802,0.000101199
C0005803,7.51E-06
C0005804,1.33E-05
C0005811,6.36E-06
C0005818,7.18E-06
C0005821,0.000200189
C0005822,5.72E-06
C0005823,0.000172182
C0005824,8.11E-06
C0005825,5.46E-06
C0005832,5.57E-06
C0005833,2.10E-05
C0005834,2.85E-05
C0005836,6.36E-06
C0005841,9.42E-05
C0005843,5.48E-06
C0005845,1.22E-05
C0005847,0.000423881
C0005848,1.65E-05
C0005854,9.41E-05
C0005857,2.48E-05
C0005859,5.57E-06
C0005861,1.57E-05
C0005862,1.40E-05
C0005863,0.000190922
C0005866,1.18E-05
C0005867,3.62E-05
C0005874,1.60E-05
C0005885,1.20E-05
C0005887,5.85E-06
C0005889,0.000146144
C0005891,8.31E-06
C0005893,2.66E-05
C0005898,2.22E-05
C0005901,5.83E-06
C0005902,5.84E-06
C0005903,3.08E-05
C0005904,5.96E-06
C0005905,1.89E-05
C0005910,3.74E-05
C0005911,1.86E-05
C0005919,1.35E-05
C0005938,1.20E-05
C0005940,2.00E-05
C0005944,1.09E-05
C0005949,7.77E-06
C0005953,0.000126225
C0005954,6.36E-06
C0005955,2.20E-05
C0005956,2.15E-05
C0005957,8.28E-06
C0005959,5.62E-06
C0005961,2.78E-05
C0005962,5.69E-06
C0005967,1.22E-05
C0005971,6.41E-05
C0005972,1.69E-05
C0005974,2.38E-05
C0005975,2.75E-05
C0005976,1.54E-05
C0005978,4.45E-05
C0006006,7.96E-06
C0006008,5.74E-06
C0006012,2.53E-05
C0006015,1.70E-05
C0006017,3.49E-05
C0006019,1.18E-05
C0006023,1.70E-05
C0006024,3.62E-05
C0006029,5.58E-06
C0006033,8.89E-06
C0006034,1.97E-05
C0006050,2.47E-05
C0006052,5.65E-06
C0006055,1.32E-05
C0006057,7.67E-06
C0006063,6.56E-05
C0006069,1.60E-05
C0006072,5.59E-06
C0006074,5.46E-06
C0006086,2.09E-05
C0006087,9.97E-06
C0006094,1.26E-05
C0006098,2.80E-05
C0006100,7.23E-05
C0006104,0.000984422
C0006105,1.17E-05
C0006106,5.68E-06
C0006107,1.41E-05
C0006109,6.05E-06
C0006110,1.92E-05
C0006111,1.83E-05
C0006112,5.48E-06
C0006114,3.97E-05
C0006118,4.13E-05
C0006119,1.38E-05
C0006121,8.82E-05
C0006123,8.68E-06
C0006132,1.81E-05
C0006138,6.10E-06
C0006141,0.000162174
C0006142,0.000265746
C0006145,6.36E-06
C0006147,0.000158768
C0006153,2.33E-05
C0006155,2.12E-05
C0006159,9.14E-05
C0006205,3.16E-05
C0006217,2.09E-05
C0006220,1.36E-05
C0006222,1.07E-05
C0006230,7.69E-06
C0006233,5.72E-06
C0006255,7.04E-05
C0006262,7.98E-06
C0006266,1.38E-05
C0006267,6.80E-05
C0006270,4.12E-05
C0006271,0.000175398
C0006272,2.74E-05
C0006274,2.10E-05
C0006277,7.42E-05
C0006279,0.000150777
C0006280,1.65E-05
C0006281,6.36E-06
C0006282,9.80E-06
C0006285,6.15E-05
C0006287,6.12E-05
C0006288,1.89E-05
C0006290,7.47E-05
C0006298,1.22E-05
C0006303,2.23E-05
C0006304,5.54E-06
C0006309,1.91E-05
C0006318,1.42E-05
C0006322,2.32E-05
C0006325,1.84E-05
C0006349,5.57E-06
C0006352,3.91E-05
C0006353,0.000125503
C0006357,5.55E-06
C0006359,6.48E-06
C0006370,9.24E-06
C0006384,8.13E-06
C0006395,3.08E-05
C0006400,3.42E-05
C0006405,7.11E-05
C0006413,7.85E-06
C0006418,6.20E-06
C0006425,8.41E-06
C0006430,1.08E-05
C0006433,7.45E-06
C0006434,6.47E-05
C0006435,5.75E-06
C0006437,5.38E-06
C0006440,1.11E-05
C0006462,1.16E-05
C0006463,1.43E-05
C0006475,5.93E-06
C0006491,8.09E-06
C0006496,5.83E-06
C0006497,1.09E-05
C0006507,5.62E-06
C0006521,2.38E-05
C0006549,7.50E-06
C0006556,8.72E-05
C0006558,2.03E-05
C0006560,0.000242088
C0006611,2.64E-05
C0006613,5.76E-06
C0006622,6.44E-06
C0006625,3.10E-05
C0006629,1.88E-05
C0006631,2.76E-05
C0006632,3.78E-05
C0006635,1.39E-05
C0006639,7.41E-06
C0006644,4.56E-05
C0006655,9.40E-06
C0006657,3.32E-05
C0006660,2.03E-05
C0006663,5.66E-05
C0006664,2.48E-05
C0006666,1.03E-05
C0006668,8.01E-06
C0006669,5.70E-05
C0006674,1.92E-05
C0006675,0.000149907
C0006681,9.64E-06
C0006684,4.73E-05
C0006685,1.58E-05
C0006686,6.20E-06
C0006701,1.72E-05
C0006706,1.24E-05
C0006711,5.70E-06
C0006732,1.72E-05
C0006736,5.37E-05
C0006752,2.09E-05
C0006764,4.99E-05
C0006765,2.43E-05
C0006772,2.53E-05
C0006777,3.06E-05
C0006779,2.77E-05
C0006780,6.04E-06
C0006781,1.69E-05
C0006784,4.67E-05
C0006786,5.69E-06
C0006790,1.01E-05
C0006801,9.43E-05
C0006809,5.60E-06
C0006811,8.36E-06
C0006813,1.43E-05
C0006818,1.71E-05
C0006819,1.23E-05
C0006824,5.63E-06
C0006826,0.001200689
C0006836,7.39E-06
C0006837,3.64E-05
C0006840,1.53E-05
C0006849,8.92E-06
